t_sec,samples,fs_est,cb_count,cb_gap_max_us,rms,peak,clip,ovf,rst,err,read_ok,read_err,no_cb_to,sample_ok,cb_ok,error_ok,audio_ok,ws_edge,bck_edge,pin_err,ssi_state
164,0,0,0,0,0,0,0,0,1,1,1,0,164,0,0,0,0,0,0,0,1
165,0,0,0,0,0,0,0,0,1,1,1,0,165,0,0,0,0,0,0,0,1
166,0,0,0,0,0,0,0,0,1,1,1,0,166,0,0,0,0,0,0,0,1
167,0,0,0,0,0,0,0,0,1,1,1,0,167,0,0,0,0,0,0,0,1
168,0,0,0,0,0,0,0,0,1,1,1,0,168,0,0,0,0,0,0,0,1
169,0,0,0,0,0,0,0,0,1,1,1,0,169,0,0,0,0,0,0,0,1
170,0,0,0,0,0,0,0,0,1,1,1,0,170,0,0,0,0,0,0,0,1
171,0,0,0,0,0,0,0,0,1,1,1,0,171,0,0,0,0,0,0,0,1
172,0,0,0,0,0,0,0,0,1,1,1,0,172,0,0,0,0,0,0,0,1
173,0,0,0,0,0,0,0,0,1,1,1,0,173,0,0,0,0,0,0,0,1
174,0,0,0,0,0,0,0,0,1,1,1,0,174,0,0,0,0,0,0,0,1
175,0,0,0,0,0,0,0,0,1,1,1,0,175,0,0,0,0,0,0,0,1
176,0,0,0,0,0,0,0,0,1,1,1,0,176,0,0,0,0,0,0,0,1
177,0,0,0,0,0,0,0,0,1,1,1,0,177,0,0,0,0,0,0,0,1
178,0,0,0,0,0,0,0,0,1,1,1,0,178,0,0,0,0,0,0,0,1
179,0,0,0,0,0,0,0,0,1,1,1,0,179,0,0,0,0,0,0,0,1
180,0,0,0,0,0,0,0,0,1,1,1,0,180,0,0,0,0,0,0,0,1
181,0,0,0,0,0,0,0,0,1,1,1,0,181,0,0,0,0,0,0,0,1
182,0,0,0,0,0,0,0,0,1,1,1,0,182,0,0,0,0,0,0,0,1
183,0,0,0,0,0,0,0,0,1,1,1,0,183,0,0,0,0,0,0,0,1
184,0,0,0,0,0,0,0,0,1,1,1,0,184,0,0,0,0,0,0,0,1
185,0,0,0,0,0,0,0,0,1,1,1,0,185,0,0,0,0,0,0,0,1
186,0,0,0,0,0,0,0,0,1,1,1,0,186,0,0,0,0,0,0,0,1
187,0,0,0,0,0,0,0,0,1,1,1,0,187,0,0,0,0,0,0,0,1
188,0,0,0,0,0,0,0,0,1,1,1,0,188,0,0,0,0,0,0,0,1
189,0,0,0,0,0,0,0,0,1,1,1,0,189,0,0,0,0,0,0,0,1
190,0,0,0,0,0,0,0,0,1,1,1,0,190,0,0,0,0,0,0,0,1
191,0,0,0,0,0,0,0,0,1,1,1,0,191,0,0,0,0,0,0,0,1
192,0,0,0,0,0,0,0,0,1,1,1,0,192,0,0,0,0,0,0,0,1
193,0,0,0,0,0,0,0,0,1,1,1,0,193,0,0,0,0,0,0,0,1
194,0,0,0,0,0,0,0,0,1,1,1,0,194,0,0,0,0,0,0,0,1
195,0,0,0,0,0,0,0,0,1,1,1,0,195,0,0,0,0,0,0,0,1
196,0,0,0,0,0,0,0,0,1,1,1,0,196,0,0,0,0,0,0,0,1
197,0,0,0,0,0,0,0,0,1,1,1,0,197,0,0,0,0,0,0,0,1
198,0,0,0,0,0,0,0,0,1,1,1,0,198,0,0,0,0,0,0,0,1
199,0,0,0,0,0,0,0,0,1,1,1,0,199,0,0,0,0,0,0,0,1
200,0,0,0,0,0,0,0,0,1,1,1,0,200,0,0,0,0,0,0,0,1
201,0,0,0,0,0,0,0,0,1,1,1,0,201,0,0,0,0,0,0,0,1
202,0,0,0,0,0,0,0,0,1,1,1,0,202,0,0,0,0,0,0,0,1
203,0,0,0,0,0,0,0,0,1,1,1,0,203,0,0,0,0,0,0,0,1
204,0,0,0,0,0,0,0,0,1,1,1,0,204,0,0,0,0,0,0,0,1
205,0,0,0,0,0,0,0,0,1,1,1,0,205,0,0,0,0,0,0,0,1
206,0,0,0,0,0,0,0,0,1,1,1,0,206,0,0,0,0,0,0,0,1
207,0,0,0,0,0,0,0,0,1,1,1,0,207,0,0,0,0,0,0,0,1
208,0,0,0,0,0,0,0,0,1,1,1,0,208,0,0,0,0,0,0,0,1
209,0,0,0,0,0,0,0,0,1,1,1,0,209,0,0,0,0,0,0,0,1
210,0,0,0,0,0,0,0,0,1,1,1,0,210,0,0,0,0,0,0,0,1
211,0,0,0,0,0,0,0,0,1,1,1,0,211,0,0,0,0,0,0,0,1
212,0,0,0,0,0,0,0,0,1,1,1,0,212,0,0,0,0,0,0,0,1
213,0,0,0,0,0,0,0,0,1,1,1,0,213,0,0,0,0,0,0,0,1
214,0,0,0,0,0,0,0,0,1,1,1,0,214,0,0,0,0,0,0,0,1
215,0,0,0,0,0,0,0,0,1,1,1,0,215,0,0,0,0,0,0,0,1
216,0,0,0,0,0,0,0,0,1,1,1,0,216,0,0,0,0,0,0,0,1
217,0,0,0,0,0,0,0,0,1,1,1,0,217,0,0,0,0,0,0,0,1
218,0,0,0,0,0,0,0,0,1,1,1,0,218,0,0,0,0,0,0,0,1
219,0,0,0,0,0,0,0,0,1,1,1,0,219,0,0,0,0,0,0,0,1
220,0,0,0,0,0,0,0,0,1,1,1,0,220,0,0,0,0,0,0,0,1
221,0,0,0,0,0,0,0,0,1,1,1,0,221,0,0,0,0,0,0,0,1
222,0,0,0,0,0,0,0,0,1,1,1,0,222,0,0,0,0,0,0,0,1
223,0,0,0,0,0,0,0,0,1,1,1,0,223,0,0,0,0,0,0,0,1
